Order Number,SKU,Product Name,Human chosen packaging,Price,Product Package Type (termando defined),Weight,Length,Width,Height
500028347,A151818,Dine Daily Saucy Morsels with Ocean Fish Cat Food 85g,1 Box,1.49,1,0.09,2.8,8.8,8.8
500028347,A144063,Dine Daily Saucy Morsels with Tuna Mornay & Cheese Cat Food 85g,1 Box,1.49,1,0.09,2.8,8.8,8.8
500028347,A151327,Whiskas Temptations Hearty Beef Mega Pack Cat Treats 180g,1 Box,8.58,1,0.18,16,4,20
500028347,A175737,Watson & Williams Budgie Seed Mix 2kg,1 Box,18.66,1,2,35,23,5
500028347,A150624,Avi One Tri-angle Rope & Wood Bird Swing,1 Box,18.47,1,0.17,31,27,6.5
500028347,A144050,Dine Daily with Tender Chicken Kitten Food 85g,1 Box,1.49,1,0.09,2.8,8.8,8.8
500028358,A130006,Animates Millet Spray 25 pack,1 Box,16.77,1,0.63,45,30,7
500028358,A129914,Animates Cockatiel Treat Twin Pack,1 Box,6.97,1,0.09,19,12,14.5
500028358,A162057,Animates Compressed Lucerne Hay Bale 5L,1 Box,9.99,1,1.49,32,16,11
500028363,A141399,Eukanuba Medium Breed Puppy Food 3kg,1 Box,50.96,1,3.1,12,21,42
500028363,A162530,Washbar Original Dog Soap 100G,1 Box,12.87,1,0.1,8,5,2
500028391,A236840,Scruffs Thermal Pet Mat Black and Grey 60x45cm,1 Box,39.98,1,0,0,0,0
500028391,A235680,Yours Droolly Cooling Pet Mat,1 Box,49.98,2,1.5,80,70,3
500028391,A114065,Petsafe Ultrasonic Handheld Collarless Dog Training System.,1 Box,89,1,0.17,7.6,15.2,20.3
500028391,A145979,Pro Line No Bark Small Dog Collar,1 Box,99.87,1,0.15,6.99,12.7,20.64
500028391,A110035,Ziwi Peak Good-Dog Rewards Venison 85g,1 Box,13.96,1,0.09,12,2,19
500028391,A110039,Ziwi Peak Good-Dog Rewards Beef 85g,1 Box,9.87,1,0.09,19,12,2
500028393,A132024,Royal Canin Shih Tzu Adult Dog Food 7.5kg,1 Carton,102.97,1,7.6,38,10,50
500028421,A167037,Elements Aquarium Mixed Gem Gravel 6-8Mm 5kg,1 Box,20.88,1,5,38,30,17
500028445,A236343,Zee.Dog Dog Lead Phantom Large,1 Box,39.83,1,,,,
500028445,A236339,Zee.Dog Dog Lead Skull Large,1 Box,39.83,1,,,,
500028445,A236301,Zee.Dog Dog Collar Phantom Large,1 Box,32.92,1,0.05,10,10,10
500028445,A236305,Zee.Dog Dog Collar Skull Large,1 Box,32.92,1,0.05,10,10,10
500028445,A236371,Zee.Dog Dog Bow Tie Skull Large,1 Box,15.89,1,,,,
500028451,A212764,Best Bird Lorikeet Wet Mix 2.4kg,1 Box,42.16,1,2.5,28,21,7
500028452,A165204,Burgess Excel Tasty Rabbit Nuggets 4kg,"1 Box
1 Parcel",44.86,1,4.04,28,13,42
500028452,A135059,Petware Pine Small Pet Bedding 18L,"1 Box
1 Parcel",11.99,1,1.14,15,10,32
500028452,A177727 ,Pro Plan Large Breed Puppy Food With Optistart 12kg,"1 Box
1 Parcel",127.93,1,,,,
500028500,A131113,Royal Canin Intense Beauty Cat Food in Gravy 85g,"1 Box
1 Parcel
1 Box",2.49,1,0.1,15,9.6,1
500028500,A118225,Royal Canin Intense Hairball Care Cat Food 2kg,"1 Box
1 Parcel
1 Box",45.96,1,2,3.2,1.9,1.05
500028500,A105357,Tigga Cat Catch & Scratch Pad,"1 Box
1 Parcel
1 Box",19.78,1,0.34,36,20.5,4.4
500028500,A177363,Fur & Purr Cardboard Scratcher Single,"1 Box
1 Parcel
1 Box",10.98,1,0.14,48,12,12
500028500,A151933,Scotch Brite 56 Sheet Lint Roller,"1 Box
1 Parcel
1 Box",10.98,1,0.25,25,10,8
500028500,A177612,Sophresh Cat Litter Clumping 6L,"1 Box
1 Parcel
1 Box",19.99,1,7.11,38,29,8
500028500,A124078,Aristotray Royal Blue Open Litter Tray,"1 Box
1 Parcel
1 Box",20.6,1,0.5,42,37,11
500028500,A155409,Trouble & Trix Crystal Cat Litter with Anti Bacterial Agent 7L,"1 Box
1 Parcel
1 Box",20.99,2,2.7,11,22,52
500028500,A117425,Royal Blue Cat Litter Scoop,"1 Box
1 Parcel
1 Box",6.18,1,0.4,28,10,5
500028500,A162454,Trouble & Trix Cat No More Hairball & Vomit Stains 1L,"1 Box
1 Parcel
1 Box",34.79,1,1.1,8.5,8.5,24
500028500,A162452,Trouble & Trix Cat No More Litterbox Odour 750ml,"1 Box
1 Parcel
1 Box",29.98,1,0.8,11,5.5,26
500028596,A129458,Advantage Flea Treatment for Dogs 10-25kg - 4 Pack,1 Box,60.84,1,0.04,16.5,10.5,20.5
500028626,A165209,Burgess Excel Chinchilla Nuggets 2kg,1 Box,25.66,1,2.025,20,12,36
500028626,A204982,LM Chinchilla Dust Bath 907g,1 Box,26.87,1,1.025,10,10,21
500028626,A237061,Topflite Timothy Hay 1kg,1 Box,14.99,2,1,40,30,40
500028637,A118240,Royal Canin Maine Coon Cat Food 10kg,"1 Box
1 Satchel/Bag",146.96,2,10,5.8,3.75,1.4
500028637,A176260,Iams Large Breed Dog Food 12kg,"1 Box
1 Satchel/Bag",84.96,2,12.2,15,37,80
500028644,A164765,Kat Attack Russell Carpet & Sisal Cat Scratch Pole 80cm,1 Satchel/Bag,99.74,2,5.65,82,40,10
500028659,A143827,Fancy Feast Elegant Medleys Shredded White Meat Chicken Cat Food 85g,1 Box,1.75,1,0.094,6.7,6.7,3.7
500028659,A143828,Fancy Feast Elegant Medleys Shredded Wild Salmon Cat Food 85g,1 Box,1.75,1,0.094,6.7,6.7,3.7
500028659,A151324,Whiskas Temptations Tempting Tuna Cat Treats 85g,1 Box,4.49,1,0.09,3,11,17.2
500028672,A146031,Le Salon Essentials Cat Slicker Brush,1 Box,20.98,1,0.11,22,15,10
500028688,A152584,Royal Canin Maxi Junior Puppy Food 4kg,1 Box,63.86,1,4.5,38,12,14
500028688,A129459,Advantage Flea Treatment For Dogs Over 25kg 4 Pack,1 Box,62.47,1,0.04,16.5,10.5,2.5
